N°;CODIGO INTERNO;DESCRIPCION;MARCA;MODELO ;SERIAL;COLOR;CANTIDAD EXISTENTE;UBICACIÓN;ESTADO DE USO, CONSERVACION Y MANTTO.;OBSERVACION;FECHA ADQUISICION;VALOR  S/LIBRO O FACTURA;UBICACIÓN2;SITIO  ;RESPONSABLE;
52;BNS-17000-0001-1;SILLLAS DE HIERRO PARA BARRA BAR;;;;;7;TASCA;OPERATIVO;;;;;;;
53;BNS-17000-0001-2;SILLA DE HIERRO PARA MESA BAR;;;;;48;TASCA;OPERATIVO;;;;;;;
54;BNS-14000-0001-6;CUADRO DE MADERA 5 HOMBRES EN CANTINA;;;;;1;TASCA;OPERATIVO;;;;;;;
55;BNS-15000-0001-1;NEVERA EXHIBIDORA 4 PTAS;WENCOLD;;;;1;TASCA;DAÑADO;;;;;;;
56;BNS-15000-0017-1;CAMPANA DE COCINA INDUSTRIAL ;;METAL;;;1;TASCA;DAÑADO;;13/3/2010;11741,88;;;;
57;BNS-15000-0006-1;COCINA INDUSTRIAL COLDELEC;;;;;1;TASCA;DAÑADO;;13/3/2010;2013,59;;;;
58;BNS-15000-0006-2;COCINA 06 HORNILLAS ;MASTOTORS CLICR;;;;1;TASCA;REPARABLE;;;;;;;
59;BNS-15000-0020-1;EXTRACTOR;;;;;1;TASCA;DAÑADO;;;;;;;
60;BNS-16000-0010-1;FREGADERO DE ACERO;NEVELARA;;;;1;TASCA;REPARABLE;;13/3/2010;9913,28;;;;
61;BNS-15000-0006-3;REVERBERO A GAS DOS HORNILLAS;;;;;1;TASCA;DAÑADO;;19/1/2012;550;;;;
62;BNS-16000-0011-1;JUEGO DE GAVINETE MADERA DE COCINA;;;;;1;TASCA;REPARABLE;;;;;;;
63;BNS-15000-0013-2;LAVADORA AUTOMATICA 16KG ;FRIGIDAI;;;;1;DEPOSITO BOLAS CRIOLLAS;DAÑADO;;4/6/2013;7,426;;;;
64;BNS-18000-0022-1;BOMBA DE AGUA DE 1HP;LEADER;;;;1;DEPOSITO BOLAS CRIOLLAS;DAÑADO;;;;;;;
65;BNS-18000-0023-1;BOMBA SUMERGIBLE ;TRUPER;;;AMARILLO;1;DEPOSITO BOLAS CRIOLLAS;DAÑADO;;;;;;;
66;BNS-18000-0023-2;BOMBA SUMERGIBLE ;OLYMPIC;;;AMARILLO;1;DEPOSITO BOLAS CRIOLLAS;DAÑADO;;;;;;;
67;BNS-13000-0020-1;ESTANTE METALICO DE 4 TRAMOS;;;;;1;DEPOSITO BOLAS CRIOLLAS;DAÑADO;;;;;;;
68;BNS-23000-0010-1;URINARIO ;;;;BLANCO ;1;DEPOSITO BOLAS CRIOLLAS;OPERATIVO;;;;;;;
69;BNS-18000-0004-1;ASPERJADORA MANUAL;;;;AZUL Y NEGRO ;1;DEPOSITO BOLAS CRIOLLAS;REPARABLE;;;;;;;
70;BNS-20000-0025-2;PESO ;CAX;;;GRIS;1;DEPOSITO BOLAS CRIOLLAS;DAÑADO;;;;;;;
71;BNS-25000-0001-1;PUERTA DE MADERA EMTAMBORADA ;;;;MARRON ;5;DEPOSITO BOLAS CRIOLLAS;OPERATIVO;;;;;;;
72;BNS-18000-0022-2;BOMBA DE AGUA DE 1HP;WECUR;;;AZUL;1;DEPOSITO BOLAS CRIOLLAS;DAÑADO;;;;;;;
73;BNS-17000-0001-3;SILLAS TUMBONAS DE PISCINA;;;;BLANCO;12;DEPOSITO BOLAS CRIOLLAS;DAÑADO;;16/8/2011;19,400,00;;;;
74;BNS-16000-0008-1;CAVA DE ALUMINIO;;;;GRIS Y AZUL;9;DEPOSITO ENTRADA;OPERATIVO;;;;;;;
75;BNS-17000-0003-1;MESAS CUADRADAS PATA FIJA;;;;;32;DEPOSITO ENTRADA;OPERATIVO;;;;;;;
76;BNS-17000-0003-2;MESAS CUADRADAS PATA DESMONTABLES;;;;;38;DEPOSITO ENTRADA;OPERATIVO;;;;;;;
77;BNS-17000-0018-1;MESONES;;;;;12;DEPOSITO ENTRADA;OPERATIVO;;;;;;;
78;BNS-17000-0002-1;MESAS REDONDAS PATA DESMONTABLES;;;;;43;DEPOSITO ENTRADA;OPERATIVO;;;;;;;
79;BNS-17000-0001-4;SILLAS TIFFANY;;;;;205;DEPOSITO ENTRADA;OPERATIVO;;;;;;;
80;BNS-17000-0001-5;SILLAS PLASTICAS CON BASE DE METAL;;;;;693;DEPOSITO ENTRADA;DAÑADO;;;;;;;
81;BNS-18000-0030-1;GUADAÑA ;LWA;;;;1;DEPOSITO PISCINA;DAÑADO;;25/2/2011;1717,4;;;;
82;BNS-18000-0030-2;GUADAÑA ;DOMOSA;;;;1;DEPOSITO PISCINA;OPERATIVO;;25/2/2011;1717,4;;;;
83;BNS-18000-0011-1;MAQUINA DE SOLDAR ;KAS;;;;1;DEPOSITO PISCINA;OPERATIVO;;;;;;;
84;BNS-18000-0008-1;ESMERIL ;TOTAL;;;;1;DEPOSITO PISCINA;OPERATIVO;;;;;;;
85;BNS-18000-0022-3;BOMBA DE AGUA 1HP;TODMAX;;;;1;DEPOSITO PISCINA;DAÑADO;;;;;;;
86;BNS-15000-0013-3;LAVADORA SILVER;;;;;1;DEPOSITO PISCINA;DAÑADO;;;;;;;
87;BNS-18000-0022-3;BOMBA DE AGUA 1HP;USA;;;;1;DEPOSITO PISCINA;DAÑADO;;10/7/2023;2,237,82;;;;
88;BNS-13000-0001-1;ESCRITORIO MODULAR;;;;;1;DEPOSITO PISCINA;REPARABLE;;17/1/2011;2498,4;;;;
89;BNS-18000-0004-2;BOMBA ASPEJADORA MOD SR420;;;;;1;DEPOSITO PISCINA;OPERATIVO;;;;;;;
90;BNS-18000-0022-4;BOMBA DE AGUA PISCINA;ASTRAPOOL;;;;1;DEPOSITO PISCINA;DAÑADO;;;;;;;
91;BNS-17000-0011-1;PARABAN;;;;;1;DEPOSITO PISCINA;REPARABLE;;;;;;;
92;BNS-18000-0022-5;BOMBA DE AGUA;TOOLMAX;;;;1;DEPOSITO PISCINA;DAÑADO;;;;;;;
93;BNS-18000-0031-1;COMPRESOR DE AIRE 50LTS;CERMEC;;;;1;DEPOSITO DE CASA;OPERATIVO;;;;;;;
94;BNS-15000-0021-1;DISPENSADOR DE AGUA;ADMIRAL;;;;1;DEPOSITO DE CASA;DAÑADO;;;;;;;
95;BNS-17000-0019-1;MESA DE DOMINO ;;;;;3;DEPOSITO DE CASA;REPARABLE;;;;;;;
96;BNS-23000-0011-1;CEPILLO DE PISCINA;;;;;1;PISCINA;REPARABLE;;;;;;;
97;BNS-17000-0001-6;SILLA DE HIERRO DOBLE ASIENTO;;;;;1;PISCINA;OPERATIVO;;;;;;;
98;BNS-17000-0001-7;SILLA DE HIERRO INDIVIDUAL;;;;;2;PISCINA;OPERATIVO;;;;;;;
99;BNS-17000-0001-8;SILLAS PEQUEÑAS;;;;ROJO;13;CASA;OPERATIVO;11 OPERATIVAS, 1 DAÑADA, 1 DESAPARECIDA;;;;;;
100;BNS-17000-0020-1;ESTANTE DE BOLAS CRIOLLAS;;;;;1;CASA;OPERATIVO;;;;;;;
101;BNS-19000-0002-1;JUEGO DE BOLAS CRIOLLAS;;;;;2;CASA;REPARABLE;1 SET DE JUEGO OPERATIVO Y OTRO DAÑADO;;;;;;
102;BNS-18000-0003-1;ANDAMIO 3 CUERPO;;;;;1;CASA;OPERATIVO;;;;;;;
103;BNS-18000-0007-1;ESCALERA MEDIANA;;;;;1;CASA;OPERATIVO;;;;;;;
104;BNS-17000-0009-1;INFLABLE BRINCA BRINCA CON MOTOR;;;;;1;DEPOSITO CASA;REPARABLE;INFLABLE OPERATIVO ;;;;;;
105;BNS-15000-0022-1;AMPLIFICADOR ;WEIWEI;;;;1;CASA;DAÑADO;;11/7/2011;1850;;;;
106;BNS-17000-0007-1;MEZCLADOR DVD ;AMERICAN AUDIO;;;;1;CASA;DAÑADO;;;;;;;
107;BNS-13000-0010-1;LAMPARAS SOLARES ;JFU LIGHTING;;;;2;CASA;OPERATIVO;;;;;;;
108;BNS-15000-0005-1;MICROONDAS ;SAMSUNG ;;;BLANCO;1;COCINA;DAÑADO;;13/11/2014;12,740,51;;;;
109;BNS-15000-0008-1;CAFETERA ;CUISINART ;;;NEGRO;1;COCINA;DAÑADO;;;;;;;
110;BNS-16000-0001-1;TERMO DE CAFÉ;;;;PLATEADO;1;;REPARABLE;"SE TRASLADO AL FONDO ""OFICINA""";;;;;;
111;BNS-15000-0006-4;COCINA A GAS 4 HORNILLAS ;LUFERCA;;;BLANCO;1;COCINA;OPERATIVO;;;;;;;
112;BNS-15000-0006-5;COCINA ELECTRICA 2 HORNILLAS ;HACEN;;;;1;COCINA;OPERATIVO;;10/10/2022;574;;;;
113;BNS-15000-0001-2;NEVERA 2 PUERTAS;DAEWOO;;;BLANCO;1;COCINA;OPERATIVO;;;;;;;
114;BNS-16000-0011-2;JUEGO DE GAVINETES INFERIORES;;;;;1;COCINA;REPARABLE;;;;;;;
115;BNS-16000-0011-3;JUEGO DE GAVINETES SUPERIORES ;;;;;1;COCINA;REPARABLE;;;;;;;
116;BNS-14000-0001-7;CUADRO DECORATIVO BODEGON ;;;;;1;COCINA;OPERATIVO;;;;;;;
117;BNS-13000-0021-1;PIZARRA ACRILICA;;;;;1;COCINA;OPERATIVO;;;;;;;
118;BNS-13000-0019-2;VENTILADOR DE TECHO;;;;;1;COCINA;DAÑADO;;;;;;;
119;BNS-13000-0021-2;PIZARRA ACRILICA DE 0,65CM X 100CM;;;;;1;COCINA;REPARABLE;;;;;;;
120;BNS-13000-0006-1;CARTELERA CON BORDES DE MADERA;;;;;1;SALA;OPERATIVO;;;;;;;
121;BNS-14000-0001-8;CUADRO DECORATIVO ;;;;;1;SALA;OPERATIVO;;;;;;;
122;BNS-14000-0001-9;CUADRO DECORATIVO ;;;;;1;SALA;OPERATIVO;;;;;;;
123;BNS-14000-0001-10;CUADRO DECORATIVO ZAMORA ;;;;;1;SALA;OPERATIVO;;;;;;;
124;BNS-13000-0001-2;MESA DE MADERA PEGABLE;;;;;1;SALA;OPERATIVO;;;;;;;
125;BNS-21000-0001-1;PIANO DE MADERA;;;;;1;SALA;REPARABLE;;;;;;;
126;BNS-13000-0001-3;MESA REDONDA FORMICA;;;;BEIGE;1;SALA;REPARABLE;;;;;;;
127;BNS-13000-0002-1;SILLAS ;;;;NEGRO Y MOSTAZA;2;SALA;REPARABLE;;;;;;;
128;BNS-14000-0001-11;CUADRO DECORATIVO CON BORDES DE MADERA;;;;;1;SALA;OPERATIVO;;;;;;;
129;BNS-13000-0004-1;GAVETERO DOS PUERTAS DE MADERA;;;;;1;SALA;OPERATIVO;;;;;;;
130;BNS-13000-0015-1;JUEGO DE MUEBLES;;;;;1;SALA;REPARABLE;;;;;;;
